plant_species,plant_genotype,plant_id,fvfm,250,500,1000,1700
rice,4191_1_DA.json,0,0.82,0.55,0.47,0.36,0.24
rice,4191_2_DA.json,0,0.82,0.52,0.45,0.35,0.23
rice,4191_3_DA.json,0,0.82,0.56,0.47,0.36,0.24
rice,4192_1_DA.json,0,0.79,0.51,0.43,0.33,0.22
rice,4192_2_DA.json,0,0.84,0.57,0.5,0.4,0.28
rice,4192_3_DA.json,0,0.84,0.64,0.53,0.44,0.29
rice,4193_1_DA.json,0,0.83,0.59,0.53,0.4,0.28
rice,4193_2_DA.json,0,0.82,0.56,0.5,0.37,0.24
rice,4193_3_DA.json,0,0.83,0.58,0.51,0.4,0.27
rice,4193_4_DA.json,0,0.82,0.57,0.52,0.41,0.26
rice,4193_5_DA.json,0,0.84,0.6,0.54,0.43,0.28
rice,HC69_1_DA.json,0,0.79,0.54,0.48,0.38,0.25
rice,HC69_2_DA.json,0,0.83,0.56,0.51,0.41,0.26
rice,HC69_3_DA.json,0,0.82,0.58,0.49,0.39,0.27
rice,HC69_4_DA.json,0,0.81,0.55,0.47,0.34,0.26
rice,HC69_5_DA.json,0,0.81,0.53,0.47,0.33,0.23
